degree,total_advice,num_rlc_chip,num_default,num_lookup,num_fixed,num_keccak,num_xor,num_xorandn,proof_time,proof_size,verify_time
17,154,2,25,1,1,9,19, 10, 32.618231095s,41024,24.188153ms
18,81,1,13,1,1,5,10, 5, 26.952066828s,22208,75.743117ms
19,46,1,7,1,1,3,5, 3, 21.50728578s,13024,11.652496ms
20,30,1,4,1,1,2,3, 2, 24.505834462s,8832,10.412865ms
21,18,1,2,1,1,1,2, 1, 28.579794889s,5536,8.103839ms
22,14,1,1,1,1,1,1, 1, 40.220964292s,4448,8.482654ms
